objective,explanation,lecture_id,include,category
Understand how visceral pain is generated and why it can be referred to the surface of the body,,Acute and chronic pain,y,Physiology
Know the different classes of analgesic drugs and where they act in the nociceptive system,,Acute and chronic pain,y,Physiology
Understand somatic sensation: pain and temperature sensations,,Pain and temperature sensation,y,Physiology
Know that these sensations are detected by un-encapsulated receptors and thin diameter primary afferent fibres,,Pain and temperature sensation,y,Physiology
"Recognise the pathways to the cerebral cortex for pain, temperature and touch sensations",,Pain and temperature sensation,y,Physiology
Know the properties of thermoreceptors,,Pain and temperature sensation,y,Physiology
Know the properties and types of nociceptors,,Pain and temperature sensation,y,Physiology
Describe how nociceptors are activated and sensitized 23,,Pain and temperature sensation,y,Physiology
Describe the mechanism of action of the local anaesthetics,,Modulation of nerve conduction- Local anaesthetics ,y,Pharmacology
Describe the different properties of the various local anaesthetics,,Modulation of nerve conduction- Local anaesthetics ,y,Pharmacology
Describe the methods of administration of local anaesthetics,,Modulation of nerve conduction- Local anaesthetics ,y,Pharmacology
Describe the unwanted effects of local anaesthetics,,Modulation of nerve conduction- Local anaesthetics ,y,Pharmacology
Describe the main symptoms of an inflammatory response,,Introduction to anti-inflammatory agents ,y,Pharmacology
List the main mediators responsible for these symptoms,,Introduction to anti-inflammatory agents ,y,Pharmacology
List the different classes of medication used to relieve pain and inflammation,,Introduction to anti-inflammatory agents ,y,Pharmacology
Describe the mode of action of non-opioid analgesics (e.g. simple analgesics and NSAIDs),,Introduction to anti-inflammatory agents ,y,Pharmacology
Describe the major side effects associated with the use of non-opioid analgesics 24,,Introduction to anti-inflammatory agents ,y,Pharmacology
List the different classes of medication used to relieve pain and inflammation,,Steroidal anti-inflammatory drugs,y,Pharmacology
Explain the physiological role of endogenous steroids,,Steroidal anti-inflammatory drugs,y,Pharmacology
Discuss the anti-inflammatory actions of the glucocorticosteroids,,Steroidal anti-inflammatory drugs,y,Pharmacology
List the common side-effects associated with the long-term use of the glucocorticosteroids 25,,Steroidal anti-inflammatory drugs,y,Pharmacology
Recall viral structure and obligate intracellular lifecycle,,Viral pathogens 1 ,y,Microbiology
Recall transmission of viral infections,,Viral pathogens 1 ,y,Microbiology
Describe the major outcomes of viral infection,,Viral pathogens 1 ,y,Microbiology
Describe how viruses are classified by their characteristics and the Baltimore classification system,,Viral pathogens 1 ,y,Microbiology
Define and order the key steps in the viral life cycle,,Viral pathogens 1 ,y,Microbiology
Give examples of the pathogenesis of some important DNA and RNA human viruses 26,,Viral pathogens 1 ,y,Microbiology
Recall viral structure and obligate intracellular lifecycle,,Viral pathogens 2 ,y,Microbiology
Recall transmission of viral infections,,Viral pathogens 2 ,y,Microbiology
Describe the major outcomes of viral infection,,Viral pathogens 2 ,y,Microbiology
Describe how viruses are classified by their characteristics and the Baltimore classification system,,Viral pathogens 2 ,y,Microbiology
Define and order the key steps in the viral life cycle,,Viral pathogens 2 ,y,Microbiology
Give examples of the pathogenesis of some important DNA and RNA human viruses 26,,Viral pathogens 2 ,y,Microbiology
"Relate the three main mechanisms of how skin and soft tissue infections occur o Breach, Systemic infection, Toxin mediated",,Infectious disease of the skin and MSK system ,y,Microbiology
Describe bone and joint infections,,Infectious disease of the skin and MSK system ,y,Microbiology
"Appreciate that the majority of skin and MSK infections are caused by viruses and bacteria, but there can also be fungal and parasitic causes",,Infectious disease of the skin and MSK system ,y,Microbiology
"Recognise the significance of the bacteria, Streptococcus pyogenes and Staphylococcus aureus as important common causes of many skin and MSK infections 27",,Infectious disease of the skin and MSK system ,y,Microbiology
Summarise three broad principles for defining atypical or abnormal behaviour and the approach taken in the DSM-5 to diagnosing psychological disorders,,,n,
Explain how abnormal cognition and behaviour may be an outcome of development rather than disease,,,n,
Explain the diathesis-stress model of psychopathology,,,n,
Explain the influence of biopsychosocial factors on developmental psychopathology across the lifespan 28,,,n,
Identify the role of population screening tests as tools of public health,,,n,
Explain the concepts of false positive and false negative results,,,n,
"In relation to a test result, explain the meaning of sensitivity, specificity, positive and negative predictive values",,,n,
Identify and describe the strengths and weakness of screening with a focus on over-diagnosis and treatment,,,n,
Recognise and cite evidence to support the rationale behind various targeted prevention programs 29,,,n,
Relate the importance of infectious disease epidemiology,,Epidemiology and emerging infections ,y,Microbiology
Define key terminology such as:,,Epidemiology and emerging infections ,y,Microbiology
"Latent period, incubation period, infectious period, clinical disease",,Epidemiology and emerging infections ,y,Microbiology
"Morbidity, mortality",,Epidemiology and emerging infections ,y,Microbiology
"Endemic, epidemic, pandemic",,Epidemiology and emerging infections ,y,Microbiology
"R0, transmission terminology",,Epidemiology and emerging infections ,y,Microbiology
Herd immunity,,Epidemiology and emerging infections ,y,Microbiology
Appreciate the steps used in an outbreak investigation to break the chains of transmission,,Epidemiology and emerging infections ,y,Microbiology
Recognise the importance of emerging and re-emerging infections and the conditions that may cause them to arise 30,,Epidemiology and emerging infections ,y,Microbiology
Describe the clinical uses of opioid analgesics and related agents,,"Pain, opioids and other analgesic agents",y,Pharmacology
Outline the mechanism of action of opioid analgesics and related agents,,"Pain, opioids and other analgesic agents",y,Pharmacology
Explain the major side effects associated with opioid analgesics and related agents,,"Pain, opioids and other analgesic agents",y,Pharmacology
Describe the analgesic ladder,,"Pain, opioids and other analgesic agents",y,Pharmacology
Outline basic concepts and theories related to self and personality,,,n,
Identify and describe The Big Five personality dimensions,,,n,
Describe the role of culture in the development of self-conceptions,,,n,
Identify the key characteristics of personality disorders,,,n,
Discuss the biopsychosocial influences on personality and personality disorders 31,,,n,
Describe social cognition and outline how theory of mind unfolds during infancy and childhood and the significance for later development,,,n,
Describe how nature and nurture contribute to the development of a theory of mind and perspective taking,,,n,
Explain how well social cognition and perspective taking holds up in adulthood and later life,,,n,
Define and illustrate the three components of morality,,,n,
"Compare and contrast the main messages about morality according to psychoanalytic, cognitive developmental, social learning and evolutionary theorists 32",,,n,
Define commonly used terms associated with outbreaks and epidemics,,,n,
Be aware of the 10 steps of outbreak investigation (NOTE: Many steps often occur concurrently!),,,n,
"Interpret epidemic curves (cases per day, and total cases) 33",,,n,
Describe the general structure of the vertebral column and contrast regional variations in its bony components,,Overview of the back,y,Anatomy
"Discuss the structure of a typical vertebra, and describe and contrast the special features of cervical, thoracic and lumbar vertebrae Part",,Overview of the back,y,Anatomy
Describe the curvatures of the vertebral column and discuss their abnormalities,,Overview of the back,y,Anatomy
Identify and describe the joints and ligaments of the vertebral column,,Overview of the back,y,Anatomy
Describe the movements of the vertebral column Part,,Overview of the back,y,Anatomy
Identify and locate the principal extrinsic and intrinsic muscles of the back,,Overview of the back,y,Anatomy
Describe the movement and function of the back muscles 34,,Overview of the back,y,Anatomy
Define the anatomical differences between the adult heart and the foetal heart,,Embryology of the heart,y,Anatomy
Explain anatomical structures facilitating heart development,,Embryology of the heart,y,Anatomy
Compare and contrast typical and atypical foetal heart development identifying the impacts on post-natal heart anatomic topology,,Embryology of the heart,y,Anatomy
"Compare and contrast the foetal versus post-natal circulation. Include in this discussion the role of pressure changes within the heart, and the impact of other visceral structures (i.e. lungs and liver) on cardiac circulation",,Embryology of the heart,y,Anatomy
"Outline the embryological precursors for adult heart anatomy, including the embryological and post-natal terminology associated with these structures",,Embryology of the heart,y,Anatomy
Describe the functions of the thoracic wall and how the anatomy supports this function,,Overview of the thoracic cage and spaces,y,Anatomy
Identify thoracic surface anatomy which can help you in diagnosis and treatment,,Overview of the thoracic cage and spaces,y,Anatomy
"Explain thoracic cage anatomy, and identify key relationships",,Overview of the thoracic cage and spaces,y,Anatomy
Discuss thoracic anatomical structures integral to the thorax’s function in each of the following: o Protection o Space o Coordinating Movement & Decreasing Friction 35,,Overview of the thoracic cage and spaces,y,Anatomy
Illustrate the relationship between physical exam surface anatomy and the anatomical topography of the heart and major vessels,,Adult heart anatomy and innervation,y,Anatomy
Compare and contrast the anatomical location of heart valves to their auscultation location in physical exam,,Adult heart anatomy and innervation,y,Anatomy
"Explain the layers surrounding the heart, and the relationship between these layers and clinical presentations (i.e. pericarditis and cardiac tamponade)",,Adult heart anatomy and innervation,y,Anatomy
"Describe the perfusion pathway to (and away) from the cardiac tissue (i.e. coronary vessels), and explain how this pathway relates to the cardiac cycle",,Adult heart anatomy and innervation,y,Anatomy
"Illustrate the innervation of the heart, and the functional impacts of this innervation on the heart",,Adult heart anatomy and innervation,y,Anatomy
Explain the overall design of the human cardiovascular system and its functions,,CVS overview and basic hemodynamics,y,Physiology
Explain the basic anatomy of the heart and its arrangement into 4 chambers,,CVS overview and basic hemodynamics,y,Physiology
Appreciate that blood flows in series through the systemic and pulmonary circulations,,CVS overview and basic hemodynamics,y,Physiology
Appreciate that blood flows in parallel through many different vascular beds' circulations,,CVS overview and basic hemodynamics,y,Physiology
Identify which regions of the cardiovascular system contain blood high in oxygen content and which regions contain blood low in oxygen content 36,,CVS overview and basic hemodynamics,y,Physiology
Define the concept of stress,,,n,
Apply contemporary models of stress to clinical examples,,,n,
Explain how the impact of events on individuals' stress levels can be increased or decreased by: o personality traits o cognitive factors o social support o emotions,,,n,
Define coping,,,n,
Categorise coping strategies using models of coping 37,,,n,
Describe patterns of health and disease on a world-wide scale including expected trends over the course of the next century,,,n,
Source and interpret bio-statistical information relevant to health and disease in populations across a range of contexts,,,n,
Describe the main risk factors associated with premature death to understand the basis of health promotion programs,,,n,
"Describe the relationship between exposure, causation and risk factors for disease and morbidity in populations",,,n,
Describe the conducting system of the heart and how electrical activity spreads from the sinoatrial node to the rest of the heart,,Electrical activity of the heart 1 ,y,Physiology
Appreciate that action potentials in different regions of the heart have different shapes and the reasons for this,,Electrical activity of the heart 1 ,y,Physiology
Describe the main ionic movements during a ventricular action potential,,Electrical activity of the heart 1 ,y,Physiology
Explain how sinoatrial node pacemaker cells spontaneously generate action potentials 38,,Electrical activity of the heart 1 ,y,Physiology
"Describe the three phases of the ECG, including how they relate to excitation of the heart and the cardiac action potentials",,Electrical activity of the heart 2 ,y,Physiology
Describe some common cardiac arrhythmias,,Electrical activity of the heart 2 ,y,Physiology
List pacemaker cells/regions within the heart,,Electrical activity of the heart 2 ,y,Physiology
Explain why the sinoatrial node acts as the normal pacemaker of the heart,,Electrical activity of the heart 2 ,y,Physiology
Explain how sinoatrial node pacemaking (i.e. heart rate) is regulated by the autonomic nervous system,,Electrical activity of the heart 2 ,y,Physiology
Know the signs & causes of heart failure,,Heart failure and inotropic agents,y,Pharmacology
Understand the pathophysiology of heart failure,,Heart failure and inotropic agents,y,Pharmacology
List major drug classes used in the treatment of heart failure,,Heart failure and inotropic agents,y,Pharmacology
Describe mechanisms of action of drugs used in treatment of heart failure & adverse effects,,Heart failure and inotropic agents,y,Pharmacology
Have knowledge of ABD + inotropes e.g. digoxin 39,,Heart failure and inotropic agents,y,Pharmacology
Describe cardiac rhythm and types of arrhythmias (basic understanding),,Anti-arrythmic agents,y,Pharmacology
Describe major drug classes used in the treatment of cardiac arrhythmias (Class I - IV),,Anti-arrythmic agents,y,Pharmacology
Explain mechanisms of action and adverse effects of antiarrhythmic drugs and when used,,Anti-arrythmic agents,y,Pharmacology
Explain acute coronary syndrome (ACS) and acute myocardial infarction (AMI) diagnoses,,When cells die- Cardiac biomarkers,y,Pharmacology
"Remember main biomarkers & sensitivities used in diagnosis of AMI; in particular, troponin",,When cells die- Cardiac biomarkers,y,Pharmacology
"Understand use of biomarkers (e.g. CK, troponin)/ECG for prediction and management of ACS/ AMI",,When cells die- Cardiac biomarkers,y,Pharmacology
"Understand the use of BNP and C-reactive protein (CRP) as biomarkers for heart failure (HF) and MI-related CV events, respectively",,When cells die- Cardiac biomarkers,y,Pharmacology
Compare/contrast AMI & chronic heart failure with respect to cardiac remodeling (revisit when discussing HF) 40,,When cells die- Cardiac biomarkers,y,Pharmacology
Apply the Health Action Process Approach to basic clinical examples,,,n,
Define attitudes and describe the dimensions along which they vary,,,n,
Identify factors in persuasive communication,,,n,
Appreciate the benefits of using imagery in health communication,,,n,
"Apply the elaboration likelihood model, at an introductory level",,,n,
Contrast symptoms and signs,,,n,
Explain the process of symptom perception and apply it to clinical examples,,,n,
Understand the impact of variables on symptom perception,,,n,
Describe the Common-Sense Model of self-regulation in symptom and risk perception,,,n,
Recognise the five components of an Illness Representation,,,n,
Define attribution and describe the dimensions along which attribution can vary,,,n,
Identify common errors in attribution 41,,,n,
"Explain why arterial blood pressure is pulsatile and define the terms diastolic, systolic, pulse and mean arterial pressure",,"Arteries, arterioles and the distribution of blood flow",y,Physiology
Understand the importance of the elastic nature and low resistance of the large arteries,,"Arteries, arterioles and the distribution of blood flow",y,Physiology
Discuss how arteriole diameter and blood flow can be controlled by local (intrinsic) factors (metabolic and myogenic control),,"Arteries, arterioles and the distribution of blood flow",y,Physiology
"Explain how sympathetic nerves (noradrenaline via α receptors) and hormonal adrenaline (via vascular smooth muscle alpha and beta-2 receptors, with differing effects) alter arteriolar diameter and the distribution of blood flow",,"Arteries, arterioles and the distribution of blood flow",y,Physiology
Describe the transport pathways for capillary exchange,,"Microcirculation, veins and venous return",y,Physiology
Explain the factors that influence filtration and absorption at the arteriolar and venular ends of a capillary (Starling forces - hydrostatic and osmotic pressures),,"Microcirculation, veins and venous return",y,Physiology
Discuss how altered capillary dynamics lead to extracellular oedema,,"Microcirculation, veins and venous return",y,Physiology
Explain the role of the lymphatic system for returning filtered fluids to the circulation 42,,"Microcirculation, veins and venous return",y,Physiology
"Explain the relationship between mean arterial pressure (MAP), cardiac output (CO) and total peripheral resistance to flow (TPR)",,Regulation of MAP and the cardiac cycle,y,Physiology
Discuss how baroreceptors are involved in the short-term neuronal control of blood pressure (i.e. the arterial baroreflex),,Regulation of MAP and the cardiac cycle,y,Physiology
"Explain how standing up suddenly or fainting can lead to a drop in MAP and HR, and how the body acts (via afferent sensory and efferent autonomic neuronal pathways) rapidly to return MAP back to normal",,Regulation of MAP and the cardiac cycle,y,Physiology
"Summarise the events occurring in the different phases of the cardiac cycle (e.g. pressure and volume changes, opening and closure of valves, timing of blood filling and blood ejection)",,Regulation of MAP and the cardiac cycle,y,Physiology
Relate the phases of the cardiac cycle to the electrocardiogram (ECG),,Regulation of MAP and the cardiac cycle,y,Physiology
Recognise the signs and causes of angina,,Vasodilator agents,y,Pharmacology
List major drug classes used in the treatment of angina,,Vasodilator agents,y,Pharmacology
Describe mechanisms of action of drugs used in treatment of angina & adverse effects: (focus on nitro-vasodilators) 43,,Vasodilator agents,y,Pharmacology
"Describe the incidence, risk factors and acute symptoms of stroke",,Pathophysiology and treatment of stroke,y,Pharmacology
"Describe the cellular and vascular pathophysiology of stroke, including the ""ischaemic cascade""",,Pathophysiology and treatment of stroke,y,Pharmacology
"Identify the types of drugs used in the treatment of stroke, and explain their mechanisms and sites of action",,Pathophysiology and treatment of stroke,y,Pharmacology
Describe the major infectious diseases of the cardiovascular system focusing on:,,Infectious diseases of the cardiovascular system,y,Microbiology
"Infectious endocarditis, myocarditis, pericarditis",,Infectious diseases of the cardiovascular system,y,Microbiology
Provide a microbiological and clinical framework for these infections:,,Infectious diseases of the cardiovascular system,y,Microbiology
Give examples of the common microbial agents of disease,,Infectious diseases of the cardiovascular system,y,Microbiology
Relate the pre-disposing conditions that can lead to these types of infections,,Infectious diseases of the cardiovascular system,y,Microbiology
"Indicate some of the signs, symptoms and tests used to diagnose these CVS infections",,Infectious diseases of the cardiovascular system,y,Microbiology
Describe fever of unknown origin 44,,Infectious diseases of the cardiovascular system,y,Microbiology
Recognise delay behaviour and the motivations behind delay behaviours,,,n,
Appreciate the broad impact of being ill on the individual and family and social networks,,,n,
Comprehend the sick role and the limitations of this concept,,,n,
Comprehend the role of carers and consider both the advantages and disadvantages on patients and carers 45,,,n,
Understand the gross anatomy of the coronary circulation,,Coronary circulation in health and disease,y,Physiology
Appreciate the high reliance of the heart on an adequate oxygen supply and the role of the coronary circulation in providing this,,Coronary circulation in health and disease,y,Physiology
Describe the unique features of the regulation of the coronary circulation,,Coronary circulation in health and disease,y,Physiology
Describe the outcomes of atherosclerosis involving the major coronary arteries,,Coronary circulation in health and disease,y,Physiology
State the major determinants and risk factors for coronary atherosclerosis,,Coronary circulation in health and disease,y,Physiology
Explain various treatment modalities 46,,Coronary circulation in health and disease,y,Physiology
Explain the importance of the vascular endothelium in modulating vascular smooth muscle tone,,Vascular Endothelium,y,Physiology
Identify endothelium-derived vasoactive factors and their mechanisms of action,,Vascular Endothelium,y,Physiology
Explain the consequences of damage to the vascular endothelium,,Vascular Endothelium,y,Physiology
Remember key processes involved in development of atherosclerosis/ plaque formation,,Atherosclerosis,y,Pharmacology
Understand mechanisms that contribute to plaque rupture (NOT venous thrombus formation),,Atherosclerosis,y,Pharmacology
Explain potential CVD complications arising from plaque rupture,,Atherosclerosis,y,Pharmacology
Explain treatment for acute life-threatening events 47,,Atherosclerosis,y,Pharmacology
Outline the relevance of essential fatty acids,,Lipid Metabolism,y,Biochemistry
Describe in outline the role of lipoproteins,,Lipid Metabolism,y,Biochemistry
Explain the importance of ketone bodies Part,,Lipid Metabolism,y,Biochemistry
Describe what lipoproteins are and explain in outline their role in cholesterol metabolism Part,,Lipid Metabolism,y,Biochemistry
Explain the importance of ketone bodies 48,,Lipid Metabolism,y,Biochemistry
Describe the processes involved in lipoprotein transport,,Lipid lowering drugs,y,Pharmacology
Describe the processes involved in development of atherosclerosis and subsequent risks; e.g. familial hypercholesterolaemia,,Lipid lowering drugs,y,Pharmacology
Describe the non-pharmacological treatment of elevated lipid levels,,Lipid lowering drugs,y,Pharmacology
